type,category,subject,topic,input,output,difficulty,language,source,dataset_tag
qna,language_foundation,vocabulary,verbs,"What does the word ""abandon"" mean?","""Abandon"" is a verb meaning to leave someone or something completely and not return, or to give up a plan or activity. Example: The crew had to abandon the sinking ship.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""accumulate"" mean?","""Accumulate"" is a verb meaning to gradually gather or collect more of something over time. Example: Dust tends to accumulate on shelves that are rarely cleaned.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""acknowledge"" mean?","""Acknowledge"" is a verb meaning to accept or admit that something is true, or to show that you have noticed someone. Example: She acknowledged that she had made a mistake.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""adapt"" mean?","""Adapt"" is a verb meaning to change your behavior or something else to suit a new situation. Example: It took him a few weeks to adapt to life in a new city.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""advocate"" mean?","""Advocate"" is a verb meaning to publicly support or recommend a particular idea, policy, or cause. Example: Many doctors advocate regular exercise for better health.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""allocate"" mean?","""Allocate"" is a verb meaning to give a particular amount of something, such as money or time, for a specific purpose. Example: The school allocated extra funds to buy new computers.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""alter"" mean?","""Alter"" is a verb meaning to change something, usually slightly. Example: The tailor altered the jacket so that it fit perfectly.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""anticipate"" mean?","""Anticipate"" is a verb meaning to expect something to happen and often prepare for it in advance. Example: We anticipate heavy traffic, so we will leave early.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""appreciate"" mean?","""Appreciate"" is a verb meaning to be grateful for something, or to recognize the value or quality of something. Example: I really appreciate your help with the move.",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""assess"" mean?","""Assess"" is a verb meaning to judge or evaluate the quality, value, or importance of something. Example: The teacher assessed each student's progress at the end of term.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""assume"" mean?","""Assume"" is a verb meaning to believe something is true without having proof. Example: I assumed the shop would be open, but it was closed.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""attain"" mean?","""Attain"" is a verb meaning to achieve or reach something, usually after effort. Example: She worked hard to attain her goal of becoming a pilot.",advanced,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""clarify"" mean?","""Clarify"" is a verb meaning to make something easier to understand by explaining it more clearly. Example: Could you clarify what you mean by that?",beginner,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""collaborate"" mean?","""Collaborate"" is a verb meaning to work together with others to produce or achieve something. Example: The two companies collaborated on a new electric car.",intermediate,en,facts_yaml,facts
qna,language_foundation,vocabulary,verbs,"What does the word ""compensate"" mean?","""Compensate"" is a verb meaning to pay or give something to someone to make up for loss, injury, or work, or to balance out a weakness. Example: The airline compensated passengers for the long delay.",intermediate,en,facts_yaml,facts
