type,category,subject,topic,input,output,difficulty,language,source,dataset_tag
qna,science,physics,electromagnetism,What is the Hall effect?,"The Hall effect is the appearance of a voltage across a current-carrying conductor when it is placed in a magnetic field perpendicular to the current. The magnetic force pushes moving charge carriers to one side, and the resulting Hall voltage is used in sensors to measure magnetic fields and to identify carrier type in semiconductors.",intermediate,en,facts_yaml,facts
qna,science,physics,kinematics,Why does a hammer fall faster than a feather on Earth but at the same rate on the Moon?,"On Earth, air resistance slows the light, broad feather much more than the hammer. The Moon has almost no atmosphere, so both objects experience only gravity and accelerate at the same rate regardless of their mass.",beginner,en,facts_yaml,facts
qna,science,physics,mechanics,What is terminal velocity?,"Terminal velocity is the constant speed reached by a falling object when the upward drag force from the air equals the downward force of gravity. At that point the net force is zero, so the object stops accelerating.",intermediate,en,facts_yaml,facts
qna,science,physics,fluids,What is Archimedes' principle?,Archimedes' principle states that an object immersed in a fluid experiences an upward buoyant force equal to the weight of the fluid it displaces. An object floats when it can displace a weight of fluid equal to its own weight.,beginner,en,facts_yaml,facts
qna,science,physics,fluids,What is Bernoulli's principle?,"Bernoulli's principle states that in a smoothly flowing fluid, an increase in speed is accompanied by a decrease in pressure. It follows from conservation of energy and helps explain effects such as lift on wings and the operation of carburetors and atomizers.",intermediate,en,facts_yaml,facts
qna,science,physics,fluids,What is Pascal's principle?,Pascal's principle states that a pressure change applied to an enclosed fluid is transmitted undiminished to every part of the fluid and the walls of its container. Hydraulic lifts and brakes use it to multiply force.,intermediate,en,facts_yaml,facts
qna,science,physics,fluids,What is viscosity?,"Viscosity is a fluid's resistance to flow, caused by internal friction between its layers. Honey has a high viscosity, while water has a low viscosity.",beginner,en,facts_yaml,facts
qna,science,physics,fluids,What causes surface tension in liquids?,"Surface tension arises because molecules at a liquid's surface are pulled inward by cohesive forces from neighboring molecules but have no molecules above them. This makes the surface behave like a stretched elastic film, allowing small insects to walk on water.",intermediate,en,facts_yaml,facts
qna,science,physics,mechanics,What does Hooke's law state?,"Hooke's law states that the force needed to stretch or compress a spring is proportional to the distance it is deformed, written F = kx, where k is the spring constant. It holds only up to the elastic limit of the material.",beginner,en,facts_yaml,facts
qna,science,physics,momentum,What is the difference between an elastic and an inelastic collision?,"In an elastic collision, both momentum and total kinetic energy are conserved. In an inelastic collision, momentum is conserved but some kinetic energy is converted into other forms such as heat, sound, or deformation.",intermediate,en,facts_yaml,facts
qna,science,physics,kinematics,Why can the horizontal and vertical motions of a projectile be treated separately?,"Gravity acts only vertically, so it changes the vertical velocity but not the horizontal velocity (ignoring air resistance). The two components are therefore independent, and the path they combine to produce is a parabola.",intermediate,en,facts_yaml,facts
qna,science,physics,gravitation,What does Kepler's third law state?,Kepler's third law states that the square of a planet's orbital period is proportional to the cube of the semi-major axis of its orbit. Planets farther from the Sun therefore take much longer to complete an orbit.,intermediate,en,facts_yaml,facts
qna,science,physics,gravitation,What is Newton's law of universal gravitation?,Newton's law of universal gravitation states that every two masses attract each other with a force proportional to the product of their masses and inversely proportional to the square of the distance between them: F = Gm1m2/r².,beginner,en,facts_yaml,facts
qna,science,physics,thermodynamics,What are the three main ways heat is transferred?,"Heat is transferred by conduction, convection, and radiation. Conduction passes energy through direct contact, convection carries it through the bulk movement of fluids, and radiation transmits it as electromagnetic waves that need no medium.",beginner,en,facts_yaml,facts
qna,science,physics,thermodynamics,Why does a metal object feel colder than a wooden object at the same room temperature?,"Metal is a much better thermal conductor than wood, so it draws heat away from your skin more quickly. Your skin senses this rate of heat loss, not the object's actual temperature.",beginner,en,facts_yaml,facts
